Symbol,Company,Sector,Sub Sector
INDIANHUME,Indian Hume Pipe Company Limited,Cement,Cement - Products/Building Materials
INDIGO,InterGlobe Aviation Limited,Transport,Transport - Air
INDLMETER,IMP Powers Limited,Electric,Electric Equipment - Transformers
INDNIPPON,India Nippon Electricals Limited,Auto Ancl,Auto Ancl - Electrical
INDOCO,Indoco Remedies Limited,Pharmaceuticals,Pharmaceuticals
INDORAMA,Indo Rama Synthetics (India) Limited,Textiles,Textiles - Spinning - Synthetic Blended
INDOSOLAR,Indosolar Limited,Misc,Non Conventional Energy - Generation/Support Equip
INDOTECH,Indo Tech Transformers Limited,Power,Power - Transmission/Equipment
INDOTHAI,Indo Thai Securities Limited,Finance,Finance - Investments
INDOWIND,Indowind Energy Limited,Power,Power - Generation/Distribution
INDRAMEDCO,Indraprastha Medical Corporation Limited,Medical,Hospitals & Medical Services
INDSWFTLAB,Ind-Swift Laboratories Limited,Pharmaceuticals,Pharmaceuticals
INDTERRAIN,Indian Terrain Fashions Limited,Textiles,Textiles - Readymade Apparels
INDUSINDBK,IndusInd Bank Limited,Banks - Private,Finance - Banks - Private Sector
INEOSSTYRO,INEOS Styrolution India Limited,,
INFIBEAM,Infibeam Avenues Limited,,
INFINITE,,Computers,Computers - Software
INFRATEL,Bharti Infratel Limited,Transmisson Line Towers / Equipment,Transmisson Line Towers / Equipment
INFY,Infosys Limited,Computers,Computers - Software
INGERRAND,Ingersoll Rand (India) Limited,Compressors,Compressors
INOXLEISUR,INOX Leisure Limited,Entertainment,Entertainment/Multi Media
INOXWIND,Inox Wind Limited,Electric,Electric Equipment - General
INSECTICID,Insecticides (India) Limited,Agro,Pesticides/Agro Chemicals
INTELLECT,Intellect Design Arena Limited,Computers,Software - Medium / Small
INTENTECH,Intense Technologies Limited,,
INVENTURE,Inventure Growth & Securities Limited,Finance,Finance - Investments
IOB,Indian Overseas Bank,Banks - PSU,Finance - Banks - Public Sector
IOC,Indian Oil Corporation Limited,Refineries,Refineries
IOLCP,IOL Chemicals and Pharmaceuticals Limited,Chemicals,Chemicals - Inorganic - Others
IPAPPM,,Paper,Paper & Paper Boards
IPCALAB,IPCA Laboratories Limited,Pharmaceuticals,Pharmaceuticals
IRB,IRB Infrastructure Developers Limited,Construction,Construction & Contracting - Civil
ISFT,Intrasoft Technologies Limited,Computers,IT Enabled Services
ISMTLTD,ISMT Limited,Steel,Steel - Rolling
ITC,ITC Limited,Cigarettes,Cigarettes
ITDC,India Tourism Development Corporation Limited,,
ITDCEM,ITD Cementation India Limited,Construction,Construction & Contracting - Civil
ITI,ITI Limited,Telecom,Telecommunications - Equipment
IVC,IL&FS Investment Managers Limited,Finance,Finance - Investments
IVP,IVP Limited,Misc,Vanaspati
IVRCLINFRA,,Construction,Construction & Contracting - Civil
IZMO,IZMO Limited,Computers,Software - Medium / Small
J&KBANK,The Jammu & Kashmir Bank Limited,Banks - Private,Finance - Banks - Private Sector
JAGRAN,Jagran Prakashan Limited,Printing,Printing/Publishing/Stationery
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,Pharmaceuticals,Pharmaceuticals
JAIBALAJI,Jai Balaji Industries Limited,Steel,Steel - Sponge Iron
JAICORPLTD,Jai Corp Limited,Steel,Steel - GP/GC Sheets
JAMNAAUTO,Jamna Auto Industries Limited,Auto Ancl,Auto Ancl - Susp. & Braking - Springs
JAYAGROGN,Jayant Agro Organics Limited,Chemicals,Chemicals - Speciality - Others
JAYBARMARU,Jay Bharat Maruti Limited,Auto Ancl,Auto Ancl - Others
JAYNECOIND,Jayaswal Neco Industries Limited,Castings,Castings/Foundry
JAYSREETEA,Jayshree Tea & Industries Limited,Tea-Coffee,Plantations - Tea & Coffee
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,Pharmaceuticals,Pharmaceuticals
JBFIND,JBF Industries Limited,Textiles,Textiles - Manmade Fibre - PFY/PSF
JBMA,JBM Auto Limited,Auto Ancl,Auto Ancl - Others
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,,
JETAIRWAYS,Jet Airways (India) Limited,Transport,Transport - Air
JINDALPOLY,Jindal Poly Films Limited,Packaging,Packaging - Others
JINDALSAW,Jindal Saw Limited,Steel,Steel - Tubes/Pipes
JINDALSTEL,Jindal Steel & Power Limited,Steel,Steel - Sponge Iron
JINDCOT,,Textiles,Textiles - General
JINDRILL,Jindal Drilling And Industries Limited,Oil Drilling,Oil Drilling And Exploration
JINDWORLD,Jindal Worldwide Limited,Textiles,Textiles - General
JISLDVREQS,Jain Irrigation Systems Limited,Plastics,Plastics - Others
JISLJALEQS,Jain Irrigation Systems Limited,Misc,Drip Irrigation Systems
JKCEMENT,JK Cement Limited,Cement,Cement - Major
JKIL,J.Kumar Infraprojects Limited,Construction,Construction & Contracting - Civil
JKLAKSHMI,JK Lakshmi Cement Limited,Cement,Cement - Major
JKPAPER,JK Paper Limited,Paper,Paper & Paper Boards
JKTYRE,JK Tyre & Industries Limited,Auto Ancl,Tyres & Tubes
JMA,Jullundur Motor Agency (Delhi) Limited,Auto Ancl,Auto Ancl - Others
JMCPROJECT,JMC Projects (India)  Limited,Construction,Construction & Contracting - Civil
JMFINANCIL,JM Financial Limited,Finance,Finance - Investments
JMTAUTOLTD,JMT Auto Limited,Auto Ancl,Auto Ancl - Gears & Drive
JOCIL,Jocil Limited,Chemicals,Chemicals - Inorganic - Caustic Soda/Soda Ash
JPASSOCIAT,Jaiprakash Associates Limited,Construction,Construction & Contracting - Civil
JPINFRATEC,Jaypee Infratech Limited,Construction,Construction & Contracting - Civil
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,Finance,Finance - Investments
JPPOWER,Jaiprakash Power Ventures Limited,Power,Power - Generation/Distribution
JSL,Jindal Stainless Limited,Steel,Steel - Alloys/Special
JSLHISAR,Jindal Stainless (Hisar) Limited,,
JSWENERGY,JSW Energy Limited,Power,Power - Generation/Distribution
JSWHL,JSW Holdings Limited,Finance,Finance - Investments
JSWSTEEL,JSW Steel Limited,Steel,Steel
JUBILANT,Jubilant Life Sciences Limited,Pharmaceuticals,Pharmaceuticals
JUBLFOOD,Jubilant Foodworks Limited,Food Processing,Food Processing - Miscellaneous
JUBLINDS,Jubilant Industries Limited,Agro,Pesticides/Agro Chemicals
JUNIORBEES,,ETF,Junior Nifty
JUSTDIAL,Just Dial Limited,Misc,Miscellaneous
JVLAGRO,JVL Agro Industries Limited,Edible Oils,Edible Oils & Solvent Extraction
JYOTHYLAB,Jyothy Labs Limited,FMCG,Personal Care
JYOTISTRUC,Jyoti Structures Limited,Power,Power - Transmission/Equipment
KABRAEXTRU,Kabra Extrusion Technik Limited,Engineering,Engineering - Heavy
KAJARIACER,Kajaria Ceramics Limited,Ceramics,Ceramics/Tiles/Sanitaryware
KAKATCEM,Kakatiya Cement Sugar & Industries Limited,Cement,Cement - Mini
